family,seed,fold,run_id,raw_crossings,current_contact_owned_activations,timing_state_actionable_events,persistence_completed_detections,affected_foot_selected_detections,detected_episodes,detected_run
S4-A,202608223,0,sand_hardened_0p20_v03,0,0,0,0,0,0,False
S4-A,202608223,0,ice_native_0p20_v03,17,8,10,8,8,8,True
S4-A,202608223,0,sand_solref_interpolation_1of3_0p20_v03,0,0,0,0,0,0,False
S4-A,202608223,0,sand_solref_interpolation_2of3_0p20_v03,0,0,0,0,0,0,False
S4-A,202608223,0,sand_solref_interpolation_3of4_stronger_v2_0p20_v03,0,0,0,0,0,0,False
S4-A,202608223,0,sand_solref_interpolation_5of6_stronger_v2_0p20_v03,0,0,0,0,0,0,False
S4-A,202608223,1,marble_native_0p10_v01,0,0,0,0,0,0,False
S4-A,202608223,1,concrete_native_0p10_v01,0,0,0,0,0,0,False
S4-A,202608223,1,sand_hardened_0p10_v01,0,0,0,0,0,0,False
S4-A,202608223,1,ice_native_0p10_v01,19,10,12,10,10,10,True
S4-A,202608223,1,sand_solref_interpolation_1of3_0p10_v01,0,0,0,0,0,0,False
S4-A,202608223,1,sand_solref_interpolation_2of3_0p10_v01,0,0,0,0,0,0,False
S4-A,202608223,1,sand_solref_interpolation_3of4_stronger_v2_0p10_v01,0,0,0,0,0,0,False
S4-A,202608223,1,sand_solref_interpolation_5of6_stronger_v2_0p10_v01,0,0,0,0,0,0,False
S4-A,202608223,1,marble_native_0p15_v01,0,0,0,0,0,0,False
S4-A,202608223,1,concrete_native_0p15_v01,0,0,0,0,0,0,False
S4-A,202608223,1,sand_hardened_0p15_v01,0,0,0,0,0,0,False
S4-A,202608223,1,ice_native_0p15_v01,18,5,11,5,5,5,True
S4-A,202608223,1,sand_solref_interpolation_1of3_0p15_v01,0,0,0,0,0,0,False
S4-A,202608223,1,sand_solref_interpolation_2of3_0p15_v01,0,0,0,0,0,0,False
S4-A,202608223,1,sand_solref_interpolation_3of4_stronger_v2_0p15_v01,0,0,0,0,0,0,False
S4-A,202608223,1,sand_solref_interpolation_5of6_stronger_v2_0p15_v01,0,0,0,0,0,0,False
S4-A,202608223,1,marble_native_0p20_v01,0,0,0,0,0,0,False
S4-A,202608223,1,concrete_native_0p20_v01,0,0,0,0,0,0,False
S4-A,202608223,1,sand_hardened_0p20_v01,0,0,0,0,0,0,False
