row_type,detector,candidate_id,candidate_order,comparison,history_ms,feature_set,state_machine,risk_threshold,risk_off_threshold,confirmed_threshold,confirmed_off_threshold,risk_persistence,confirmed_persistence,threshold_rule,train_samples,validation_runs,normal_runs,physical_positive_runs,risk_run_coverage,risk_covered_runs,normal_risk_fp_runs,risk_too_early_runs,confirmed_run_recall,confirmed_detected_runs,normal_confirmed_fp_runs,pre_onset_confirmed_runs,confirmed_latency_median_ms,confirmed_latency_p95_ms,invalid_firing_samples,reset_invariant_pass,reload_parity_exact,profile_results_json,controlled_run_recall,controlled_baseline_recall,controlled_retention_pass,host_inference_us_per_sample,parameter_count,persistent_state_bytes,history_buffer_bytes,estimated_macs_per_1khz_sample,feature_count,e84_u55_compatible,vela_unsupported_ops_expected,int8_or_vela_executed,risk_gate_pass,confirmed_gate_pass,mandatory_gate_pass,production_candidate,profile,speed_mps,run_count,run_id,role,physical_positive,physical_onset_sample,first_risk_sample,risk_in_horizon,risk_after_onset,risk_too_early,first_confirmed_sample,pre_onset_confirmed,post_onset_confirmed_sample,confirmed_detected,confirmed_latency_ms,normal_risk_fp,normal_confirmed_fp
run,slip,A_stateless_100ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,0.15,,concrete_native_0p15_v02,hard_negative,False,,,False,False,False,,False,,False,,False,False
run,slip,A_stateless_100ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sand_walking_support_v1_hardened,0.15,,sand_hardened_0p15_v02,hard_negative,False,,,False,False,False,,False,,False,,False,False
run,slip,A_stateless_100ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ice,0.15,,ice_native_0p15_v02,slip_candidate,True,158,108,True,True,False,108,True,158,True,0,False,False
run,slip,A_stateless_100ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sand_solref_interpolation_1of3,0.15,,sand_solref_interpolation_1of3_0p15_v02,sink_candidate,False,,109,False,False,False,109,False,,False,,False,False
run,slip,A_stateless_100ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sand_solref_interpolation_2of3,0.15,,sand_solref_interpolation_2of3_0p15_v02,sink_candidate,False,,108,False,False,False,108,False,,False,,False,False
run,slip,A_stateless_100ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marble,0.2,,marble_native_0p20_v02,hard_negative,False,,170,False,False,False,170,False,,False,,True,True
run,slip,A_stateless_100ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,0.2,,concrete_native_0p20_v02,hard_negative,False,,,False,False,False,,False,,False,,False,False
run,slip,A_stateless_100ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sand_walking_support_v1_hardened,0.2,,sand_hardened_0p20_v02,hard_negative,False,,,False,False,False,,False,,False,,False,False
run,slip,A_stateless_100ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ice,0.2,,ice_native_0p20_v02,slip_candidate,True,159,108,True,True,False,108,True,159,True,0,False,False
run,slip,A_stateless_100ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sand_solref_interpolation_1of3,0.2,,sand_solref_interpolation_1of3_0p20_v02,sink_candidate,False,,109,False,False,False,109,False,,False,,False,False
run,slip,A_stateless_100ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sand_solref_interpolation_2of3,0.2,,sand_solref_interpolation_2of3_0p20_v02,sink_candidate,False,,107,False,False,False,107,False,,False,,False,False
run,slip,B_dual_persistence_100ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marble,0.1,,marble_native_0p10_v02,hard_negative,False,,,False,False,False,,False,,False,,False,False
run,slip,B_dual_persistence_100ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,0.1,,concrete_native_0p10_v02,hard_negative,False,,,False,False,False,,False,,False,,False,False
run,slip,B_dual_persistence_100ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sand_walking_support_v1_hardened,0.1,,sand_hardened_0p10_v02,hard_negative,False,,,False,False,False,,False,,False,,False,False
run,slip,B_dual_persistence_100ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ice,0.1,,ice_native_0p10_v02,slip_candidate,True,158,111,True,True,False,111,True,213,True,55,False,False
run,slip,B_dual_persistence_100ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sand_solref_interpolation_1of3,0.1,,sand_solref_interpolation_1of3_0p10_v02,sink_candidate,False,,113,False,False,False,113,False,,False,,False,False
run,slip,B_dual_persistence_100ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sand_solref_interpolation_2of3,0.1,,sand_solref_interpolation_2of3_0p10_v02,sink_candidate,False,,114,False,False,False,114,False,,False,,False,False
run,slip,B_dual_persistence_100ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marble,0.15,,marble_native_0p15_v02,hard_negative,False,,,False,False,False,,False,,False,,False,False
run,slip,B_dual_persistence_100ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,0.15,,concrete_native_0p15_v02,hard_negative,False,,,False,False,False,,False,,False,,False,False
run,slip,B_dual_persistence_100ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sand_walking_support_v1_hardened,0.15,,sand_hardened_0p15_v02,hard_negative,False,,,False,False,False,,False,,False,,False,False
run,slip,B_dual_persistence_100ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ice,0.15,,ice_native_0p15_v02,slip_candidate,True,158,112,True,True,False,112,True,158,True,0,False,False
